,index,item,counts,Send_grid,시군구명,longitude,lat
0,353,상의,5,11110,종로구,126.9816417,37.57037778
1,17382,이미용가전,4,11110,종로구,126.9816417,37.57037778
2,18750,스마트디바이스액세서리,3,11110,종로구,126.9816417,37.57037778
3,22418,문화컨텐츠,5,11110,종로구,126.9816417,37.57037778
4,561,음료,9,11110,종로구,126.9816417,37.57037778
5,3478,주방용품,4,11110,종로구,126.9816417,37.57037778
6,30089,가공식품,3,11110,종로구,126.9816417,37.57037778
7,24119,홈데코,3,11110,종로구,126.9816417,37.57037778
8,13669,색조메이크업,4,11110,종로구,126.9816417,37.57037778
9,28208,주얼리,11,11110,종로구,126.9816417,37.57037778
10,17512,주방용품,6,11110,종로구,126.9816417,37.57037778
11,5434,기타패션의류,7,11110,종로구,126.9816417,37.57037778
12,7756,가공식품,5,11110,종로구,126.9816417,37.57037778
13,1520,기타패션의류,3,11110,종로구,126.9816417,37.57037778
14,14060,기타패션의류,37,11110,종로구,126.9816417,37.57037778
15,13816,주방가구,3,11110,종로구,126.9816417,37.57037778
16,14324,인테리어소품,5,11110,종로구,126.9816417,37.57037778
17,6705,음료,9,11110,종로구,126.9816417,37.57037778
18,24966,문화컨텐츠,3,11110,종로구,126.9816417,37.57037778
19,25243,문화컨텐츠,4,11110,종로구,126.9816417,37.57037778
20,12980,과자,20,11110,종로구,126.9816417,37.57037778
21,23381,홈데코,3,11110,종로구,126.9816417,37.57037778
22,30948,상의,5,11110,종로구,126.9816417,37.57037778
23,9688,건강식품,5,11110,종로구,126.9816417,37.57037778
24,24917,공구,3,11110,종로구,126.9816417,37.57037778
25,16985,공구,3,11110,종로구,126.9816417,37.57037778
26,16475,공구,11,11110,종로구,126.9816417,37.57037778
27,7441,상의,3,11110,종로구,126.9816417,37.57037778
28,5716,생활용품,4,11110,종로구,126.9816417,37.57037778
29,446,인테리어소품,3,11110,종로구,126.9816417,37.57037778
30,26814,주방가구,3,11110,종로구,126.9816417,37.57037778
31,23565,문화컨텐츠,5,11110,종로구,126.9816417,37.57037778
32,18100,공구,25,11110,종로구,126.9816417,37.57037778
33,14410,하의,5,11110,종로구,126.9816417,37.57037778
34,19510,상의,6,11110,종로구,126.9816417,37.57037778
35,8884,과자,29,11110,종로구,126.9816417,37.57037778
36,28460,이미용가전,16,11110,종로구,126.9816417,37.57037778
37,6226,이미용가전,3,11110,종로구,126.9816417,37.57037778
38,20783,기타식품,5,11110,종로구,126.9816417,37.57037778
39,5372,주방용품,4,11110,종로구,126.9816417,37.57037778
40,12100,상의,3,11110,종로구,126.9816417,37.57037778
41,15562,인테리어소품,3,11110,종로구,126.9816417,37.57037778
42,15714,문화컨텐츠,4,11110,종로구,126.9816417,37.57037778
43,20966,문화컨텐츠,13,11110,종로구,126.9816417,37.57037778
44,23911,기타패션잡화,3,11110,종로구,126.9816417,37.57037778
45,21021,기타패션의류,4,11110,종로구,126.9816417,37.57037778
46,13913,주방용품,4,11110,종로구,126.9816417,37.57037778
47,19635,기타패션의류,4,11140,중구,128.6061745,35.86952722
48,19635,기타패션의류,4,11140,중구,127.421381,36.32582989
49,19635,기타패션의류,4,11140,중구,129.0345083,35.10321667
50,19635,기타패션의류,4,11140,중구,126.9996417,37.56100278
51,19635,기타패션의류,4,11140,중구,129.3328162,35.56971228
52,19635,기타패션의류,4,11140,중구,126.6217617,37.47384843
53,18176,가공식품,15,11140,중구,128.6061745,35.86952722
54,18176,가공식품,15,11140,중구,127.421381,36.32582989
55,18176,가공식품,15,11140,중구,129.0345083,35.10321667
56,18176,가공식품,15,11140,중구,126.9996417,37.56100278
57,18176,가공식품,15,11140,중구,129.3328162,35.56971228
58,18176,가공식품,15,11140,중구,126.6217617,37.47384843
59,9066,냉동/간편조리식품,4,11140,중구,128.6061745,35.86952722
60,9066,냉동/간편조리식품,4,11140,중구,127.421381,36.32582989
61,9066,냉동/간편조리식품,4,11140,중구,129.0345083,35.10321667
62,9066,냉동/간편조리식품,4,11140,중구,126.9996417,37.56100278
63,9066,냉동/간편조리식품,4,11140,중구,129.3328162,35.56971228
64,9066,냉동/간편조리식품,4,11140,중구,126.6217617,37.47384843
65,1943,공구,4,11140,중구,128.6061745,35.86952722
66,1943,공구,4,11140,중구,127.421381,36.32582989
67,1943,공구,4,11140,중구,129.0345083,35.10321667
68,1943,공구,4,11140,중구,126.9996417,37.56100278
69,1943,공구,4,11140,중구,129.3328162,35.56971228
70,1943,공구,4,11140,중구,126.6217617,37.47384843
71,24312,하의,3,11140,중구,128.6061745,35.86952722
72,24312,하의,3,11140,중구,127.421381,36.32582989
73,24312,하의,3,11140,중구,129.0345083,35.10321667
74,24312,하의,3,11140,중구,126.9996417,37.56100278
75,24312,하의,3,11140,중구,129.3328162,35.56971228
76,24312,하의,3,11140,중구,126.6217617,37.47384843
77,12870,상의,3,11140,중구,128.6061745,35.86952722
78,12870,상의,3,11140,중구,127.421381,36.32582989
79,12870,상의,3,11140,중구,129.0345083,35.10321667
80,12870,상의,3,11140,중구,126.9996417,37.56100278
81,12870,상의,3,11140,중구,129.3328162,35.56971228
82,12870,상의,3,11140,중구,126.6217617,37.47384843
83,7657,축산,3,11140,중구,128.6061745,35.86952722
84,7657,축산,3,11140,중구,127.421381,36.32582989
85,7657,축산,3,11140,중구,129.0345083,35.10321667
86,7657,축산,3,11140,중구,126.9996417,37.56100278
87,7657,축산,3,11140,중구,129.3328162,35.56971228
88,7657,축산,3,11140,중구,126.6217617,37.47384843
89,24374,하의,5,11140,중구,128.6061745,35.86952722
90,24374,하의,5,11140,중구,127.421381,36.32582989
91,24374,하의,5,11140,중구,129.0345083,35.10321667
92,24374,하의,5,11140,중구,126.9996417,37.56100278
93,24374,하의,5,11140,중구,129.3328162,35.56971228
94,24374,하의,5,11140,중구,126.6217617,37.47384843
95,11008,하의,3,11140,중구,128.6061745,35.86952722
96,11008,하의,3,11140,중구,127.421381,36.32582989
97,11008,하의,3,11140,중구,129.0345083,35.10321667
98,11008,하의,3,11140,중구,126.9996417,37.56100278
99,11008,하의,3,11140,중구,129.3328162,35.56971228
100,11008,하의,3,11140,중구,126.6217617,37.47384843
101,24610,문화컨텐츠,3,11140,중구,128.6061745,35.86952722
102,24610,문화컨텐츠,3,11140,중구,127.421381,36.32582989
103,24610,문화컨텐츠,3,11140,중구,129.0345083,35.10321667
104,24610,문화컨텐츠,3,11140,중구,126.9996417,37.56100278
105,24610,문화컨텐츠,3,11140,중구,129.3328162,35.56971228
106,24610,문화컨텐츠,3,11140,중구,126.6217617,37.47384843
107,26678,문화컨텐츠,5,11140,중구,128.6061745,35.86952722
108,26678,문화컨텐츠,5,11140,중구,127.421381,36.32582989
109,26678,문화컨텐츠,5,11140,중구,129.0345083,35.10321667
110,26678,문화컨텐츠,5,11140,중구,126.9996417,37.56100278
111,26678,문화컨텐츠,5,11140,중구,129.3328162,35.56971228
112,26678,문화컨텐츠,5,11140,중구,126.6217617,37.47384843
113,11721,냉동/간편조리식품,3,11140,중구,128.6061745,35.86952722
114,11721,냉동/간편조리식품,3,11140,중구,127.421381,36.32582989
115,11721,냉동/간편조리식품,3,11140,중구,129.0345083,35.10321667
116,11721,냉동/간편조리식품,3,11140,중구,126.9996417,37.56100278
117,11721,냉동/간편조리식품,3,11140,중구,129.3328162,35.56971228
118,11721,냉동/간편조리식품,3,11140,중구,126.6217617,37.47384843
119,16925,문구/사무용품,4,11140,중구,128.6061745,35.86952722
120,16925,문구/사무용품,4,11140,중구,127.421381,36.32582989
121,16925,문구/사무용품,4,11140,중구,129.0345083,35.10321667
122,16925,문구/사무용품,4,11140,중구,126.9996417,37.56100278
123,16925,문구/사무용품,4,11140,중구,129.3328162,35.56971228
124,16925,문구/사무용품,4,11140,중구,126.6217617,37.47384843
125,21266,문화컨텐츠,3,11140,중구,128.6061745,35.86952722
126,21266,문화컨텐츠,3,11140,중구,127.421381,36.32582989
127,21266,문화컨텐츠,3,11140,중구,129.0345083,35.10321667
128,21266,문화컨텐츠,3,11140,중구,126.9996417,37.56100278
129,21266,문화컨텐츠,3,11140,중구,129.3328162,35.56971228
130,21266,문화컨텐츠,3,11140,중구,126.6217617,37.47384843
131,21359,유아가구,3,11140,중구,128.6061745,35.86952722
132,21359,유아가구,3,11140,중구,127.421381,36.32582989
133,21359,유아가구,3,11140,중구,129.0345083,35.10321667
134,21359,유아가구,3,11140,중구,126.9996417,37.56100278
135,21359,유아가구,3,11140,중구,129.3328162,35.56971228
136,21359,유아가구,3,11140,중구,126.6217617,37.47384843
137,25336,공구,5,11140,중구,128.6061745,35.86952722
138,25336,공구,5,11140,중구,127.421381,36.32582989
139,25336,공구,5,11140,중구,129.0345083,35.10321667
140,25336,공구,5,11140,중구,126.9996417,37.56100278
141,25336,공구,5,11140,중구,129.3328162,35.56971228
142,25336,공구,5,11140,중구,126.6217617,37.47384843
143,18880,냉동/간편조리식품,3,11140,중구,128.6061745,35.86952722
144,18880,냉동/간편조리식품,3,11140,중구,127.421381,36.32582989
145,18880,냉동/간편조리식품,3,11140,중구,129.0345083,35.10321667
146,18880,냉동/간편조리식품,3,11140,중구,126.9996417,37.56100278
147,18880,냉동/간편조리식품,3,11140,중구,129.3328162,35.56971228
148,18880,냉동/간편조리식품,3,11140,중구,126.6217617,37.47384843
149,31383,냉동/간편조리식품,4,11140,중구,128.6061745,35.86952722
150,31383,냉동/간편조리식품,4,11140,중구,127.421381,36.32582989
151,31383,냉동/간편조리식품,4,11140,중구,129.0345083,35.10321667
152,31383,냉동/간편조리식품,4,11140,중구,126.9996417,37.56100278
153,31383,냉동/간편조리식품,4,11140,중구,129.3328162,35.56971228
154,31383,냉동/간편조리식품,4,11140,중구,126.6217617,37.47384843
155,15163,냉동/간편조리식품,3,11140,중구,128.6061745,35.86952722
156,15163,냉동/간편조리식품,3,11140,중구,127.421381,36.32582989
157,15163,냉동/간편조리식품,3,11140,중구,129.0345083,35.10321667
158,15163,냉동/간편조리식품,3,11140,중구,126.9996417,37.56100278
159,15163,냉동/간편조리식품,3,11140,중구,129.3328162,35.56971228
160,15163,냉동/간편조리식품,3,11140,중구,126.6217617,37.47384843
161,23770,농산물,3,11140,중구,128.6061745,35.86952722
162,23770,농산물,3,11140,중구,127.421381,36.32582989
163,23770,농산물,3,11140,중구,129.0345083,35.10321667
164,23770,농산물,3,11140,중구,126.9996417,37.56100278
165,23770,농산물,3,11140,중구,129.3328162,35.56971228
166,23770,농산물,3,11140,중구,126.6217617,37.47384843
167,2565,가공식품,5,11140,중구,128.6061745,35.86952722
168,2565,가공식품,5,11140,중구,127.421381,36.32582989
169,2565,가공식품,5,11140,중구,129.0345083,35.10321667
170,2565,가공식품,5,11140,중구,126.9996417,37.56100278
171,2565,가공식품,5,11140,중구,129.3328162,35.56971228
172,2565,가공식품,5,11140,중구,126.6217617,37.47384843
173,5587,가공식품,75,11140,중구,128.6061745,35.86952722
174,5587,가공식품,75,11140,중구,127.421381,36.32582989
175,5587,가공식품,75,11140,중구,129.0345083,35.10321667
